订单号,来源,配送方式,商品金额,期望送达时间,下单时间,打包时间,妥投时间,ctype
43710445,企业团购,配送,3558.95,2021-10-01 06:30:00 - 2021-10-01 17:00:00,2021/9/30 16:51,2021/10/1 6:21,2021/10/1 6:30,B
43711773,企业团购,配送,672.2,2021-10-01 06:30:00 - 2021-10-01 17:00:00,2021/9/30 17:00,2021/10/1 6:21,2021/10/1 6:30,B
43712847,企业团购,配送,268.6,2021-10-01 06:30:00 - 2021-10-01 17:00:00,2021/9/30 17:20,2021/10/1 6:22,2021/10/1 6:30,D
43713576,企业团购,配送,1177.72,2021-10-01 06:30:00 - 2021-10-01 17:00:00,2021/9/30 17:22,2021/10/1 6:22,2021/10/1 6:30,B
43714829,企业团购,配送,1396.98,2021-10-01 06:30:00 - 2021-10-01 17:00:00,2021/9/30 14:42,2021/10/1 6:39,2021/10/1 6:40,B
43815998,企业团购,自提,107.8,2021-10-01 08:30:00 - 2021-10-01 09:30:00,2021/9/30 20:29,2021/10/1 8:21,2021/10/1 8:51,B
43816461,企业团购,配送,229.01,2021-10-01 09:30:00 - 2021-10-01 10:30:00,2021/10/1 8:36,2021/10/1 8:55,2021/10/1 9:18,A
43817074,饿了么,配送,121.2,2021-10-01 09:03:00 - 2021-10-01 09:43:00,2021/10/1 9:02,2021/10/1 9:09,2021/10/1 9:36,D
43818806,美团,配送,139.0,2021-10-01 09:29:00 - 2021-10-01 10:29:00,2021/10/1 9:29,2021/10/1 9:32,2021/10/1 9:51,C
43819604,饿了么,配送,130.0,2021-10-01 10:00:00 - 2021-10-01 10:00:00,2021/10/1 6:44,2021/10/1 8:36,2021/10/1 9:52,D
43820560,饿了么,配送,29.8,2021-10-01 10:00:00 - 2021-10-01 10:00:00,2021/9/30 23:05,2021/10/1 8:36,2021/10/1 9:53,D
43721371,企业团购,配送,122.2,2021-09-30 15:00:00 - 2021-09-30 16:00:00,2021/9/29 15:54,2021/9/30 16:50,2021/10/1 10:00,B
